n_nodes,n_edges,n_merchants,alpha,rebalance_active,mean_rebalances,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,time_sec
10,45,3,0.0,False,0.00,67816.50,17037.60,28686.00,95907.00,70253.00,60349.44,75283.56,20,3.1
10,45,3,0.2,False,0.00,10607.30,1005.45,7637.00,11890.00,10861.50,10166.64,11047.96,20,0.9
10,45,3,0.2,True,69.10,10457.00,556.97,9480.00,11340.00,10545.00,10212.90,10701.10,20,0.8
10,45,3,0.4,False,0.00,5761.90,392.64,5169.00,6391.00,5787.50,5589.82,5933.98,20,0.6
10,45,3,0.4,True,57.70,5110.95,325.44,4440.00,5701.00,5145.00,4968.32,5253.58,20,0.6
10,45,3,0.6,False,0.00,3919.85,197.70,3661.00,4279.00,3899.00,3833.20,4006.50,20,0.6
10,45,3,0.6,True,50.50,3479.85,143.81,3190.00,3708.00,3505.00,3416.82,3542.88,20,0.5
20,190,4,0.0,False,0.00,182533.95,49573.69,120999.00,287908.00,174251.00,160807.32,204260.58,20,30.3
20,190,4,0.2,False,0.00,27525.90,2137.75,22951.00,31124.00,27662.50,26588.99,28462.81,20,4.1
20,190,4,0.2,True,59.30,26152.15,1351.63,22790.00,28400.00,26255.00,25559.77,26744.53,20,4.2
20,190,4,0.4,False,0.00,14676.20,840.93,13417.00,16429.00,14802.00,14307.65,15044.75,20,2.4
20,190,4,0.4,True,53.35,13254.90,469.05,12390.00,14160.00,13250.00,13049.33,13460.47,20,2.3
20,190,4,0.6,False,0.00,10035.30,496.85,8980.00,10863.00,10119.50,9817.55,10253.05,20,1.7
20,190,4,0.6,True,62.45,8891.80,330.00,8050.00,9660.00,8905.00,8747.17,9036.43,20,1.7
30,435,5,0.0,False,0.00,401979.25,63850.72,262033.00,509914.00,400325.00,373995.44,429963.06,20,166.4
30,435,5,0.2,False,0.00,49834.85,2883.46,45052.00,55061.00,49855.00,48571.12,51098.58,20,23.3
30,435,5,0.2,True,123.50,49062.00,1281.03,45950.00,50900.00,49140.00,48500.56,49623.44,20,23.6
30,435,5,0.4,False,0.00,27233.85,1348.60,23766.00,29570.00,27504.00,26642.80,27824.90,20,12.5
30,435,5,0.4,True,72.15,24250.00,937.00,21890.00,25660.00,24415.00,23839.34,24660.66,20,11.6
30,435,5,0.6,False,0.00,18730.25,913.95,16794.00,20003.00,18986.50,18329.69,19130.81,20,8.3
30,435,5,0.6,True,51.30,16284.50,385.66,15400.00,16740.00,16425.00,16115.48,16453.52,20,7.3
40,780,6,0.0,False,0.00,643621.90,114930.15,312420.00,854440.00,634951.00,593251.54,693992.26,20,558.3
40,780,6,0.2,False,0.00,77899.90,4231.66,65600.00,84378.00,78877.00,76045.29,79754.51,20,49.0
40,780,6,0.2,True,98.15,75050.00,4054.13,66200.00,80640.00,75905.00,73273.20,76826.80,20,44.0
40,780,6,0.4,False,0.00,42928.85,1725.55,38538.00,45307.00,43041.00,42172.59,43685.11,20,34.0
40,780,6,0.4,True,60.15,38188.00,1380.30,35140.00,40310.00,38550.00,37583.06,38792.94,20,30.6
40,780,6,0.6,False,0.00,28899.95,1168.79,25555.00,31700.00,28769.00,28387.71,29412.19,20,23.5
40,780,6,0.6,True,97.80,25902.00,872.48,23380.00,26980.00,26230.00,25519.62,26284.38,20,21.6
50,1225,7,0.0,False,0.00,919463.65,169507.80,634681.00,1209596.00,909898.50,845173.58,993753.72,20,4052.4
50,1225,7,0.2,False,0.00,114859.50,6260.55,98705.00,126269.00,114517.50,112115.69,117603.31,20,84.4
50,1225,7,0.2,True,65.00,107319.00,3807.32,101190.00,115360.00,106890.00,105650.37,108987.63,20,2728.5
50,1225,7,0.4,False,0.00,59654.60,3323.11,51318.00,64705.00,60044.00,58198.18,61111.02,20,62.1
50,1225,7,0.4,True,104.35,55841.00,1595.03,52650.00,58600.00,55905.00,55141.95,56540.05,20,58.4
50,1225,7,0.6,False,0.00,42237.55,2270.64,35891.00,45490.00,42393.50,41242.40,43232.70,20,44.6
50,1225,7,0.6,True,83.05,37233.00,1198.06,35070.00,38840.00,37340.00,36707.93,37758.07,20,41.6
60,1770,7,0.0,False,0.00,1215134.35,185402.79,823811.00,1630061.00,1218216.50,1133878.00,1296390.70,20,3178.7
60,1770,7,0.2,False,0.00,135545.95,7886.04,122065.00,152031.00,136966.00,132089.74,139002.16,20,185.9
60,1770,7,0.2,True,108.75,130134.50,5825.92,119540.00,138340.00,131600.00,127581.18,132687.82,20,210.3
60,1770,7,0.4,False,0.00,73163.30,2886.29,67712.00,79197.00,73087.50,71898.33,74428.27,20,123.8
60,1770,7,0.4,True,80.70,66103.00,1968.76,60820.00,70040.00,65840.00,65240.15,66965.85,20,134.1
50,1225,7,0.6,True,83.05,37233.00,1198.06,35070.00,38840.00,37340.00,36707.93,37758.07,20,42.2
60,1770,7,0.0,False,0.00,1215134.35,185402.79,823811.00,1630061.00,1218216.50,1133878.00,1296390.70,20,3150.4
60,1770,7,0.2,False,0.00,135545.95,7886.04,122065.00,152031.00,136966.00,132089.74,139002.16,20,213.9
60,1770,7,0.2,True,108.75,130134.50,5825.92,119540.00,138340.00,131600.00,127581.18,132687.82,20,217.9
60,1770,7,0.4,False,0.00,73163.30,2886.29,67712.00,79197.00,73087.50,71898.33,74428.27,20,147.7
