alpha,edge_u,edge_v,betweenness,fail_count,fail_freq,edge_type
0.0,0,1,1.0,0,0.0000,merchant_adj
0.0,0,2,1.0,0,0.0000,merchant_adj
0.0,0,3,1.0,0,0.0000,merchant_adj
0.0,0,4,6.0,51,0.0510,merchant_adj
0.0,1,2,1.0,0,0.0000,merchant_adj
0.0,1,3,1.0,0,0.0000,other
0.0,1,4,6.0,37,0.0370,other
0.0,2,3,1.0,0,0.0000,merchant_adj
0.0,2,4,6.0,53,0.0530,merchant_adj
0.0,3,4,6.0,46,0.0460,other
0.0,4,5,25.0,646,0.6460,bridge
0.0,5,6,6.0,46,0.0460,merchant_adj
0.0,5,7,6.0,53,0.0530,merchant_adj
0.0,5,8,6.0,40,0.0400,merchant_adj
0.0,5,9,6.0,27,0.0270,merchant_adj
0.0,6,7,1.0,0,0.0000,other
0.0,6,8,1.0,1,0.0010,other
0.0,6,9,1.0,0,0.0000,other
0.0,7,8,1.0,0,0.0000,other
0.0,7,9,1.0,0,0.0000,other
0.0,8,9,1.0,0,0.0000,other
0.3,0,1,1.0,0,0.0000,merchant_adj
0.3,0,2,1.0,0,0.0000,merchant_adj
0.3,0,3,1.0,0,0.0000,merchant_adj
0.3,0,4,6.0,307,0.3070,merchant_adj
0.3,1,2,1.0,0,0.0000,merchant_adj
0.3,1,3,1.0,0,0.0000,other
0.3,1,4,6.0,0,0.0000,other
0.3,2,3,1.0,0,0.0000,merchant_adj
0.3,2,4,6.0,312,0.3120,merchant_adj
0.3,3,4,6.0,0,0.0000,other
0.3,4,5,25.0,374,0.3740,bridge
0.3,5,6,6.0,2,0.0020,merchant_adj
0.3,5,7,6.0,4,0.0040,merchant_adj
0.3,5,8,6.0,0,0.0000,merchant_adj
0.3,5,9,6.0,1,0.0010,merchant_adj
0.3,6,7,1.0,0,0.0000,other
0.3,6,8,1.0,0,0.0000,other
0.3,6,9,1.0,0,0.0000,other
0.3,7,8,1.0,0,0.0000,other
0.3,7,9,1.0,0,0.0000,other
0.3,8,9,1.0,0,0.0000,other
0.6,0,1,1.0,0,0.0000,merchant_adj
0.6,0,2,1.0,0,0.0000,merchant_adj
0.6,0,3,1.0,0,0.0000,merchant_adj
0.6,0,4,6.0,318,0.3180,merchant_adj
0.6,1,2,1.0,0,0.0000,merchant_adj
0.6,1,3,1.0,0,0.0000,other
0.6,1,4,6.0,0,0.0000,other
0.6,2,3,1.0,0,0.0000,merchant_adj
0.6,2,4,6.0,324,0.3240,merchant_adj
0.6,3,4,6.0,0,0.0000,other
0.6,4,5,25.0,358,0.3580,bridge
0.6,5,6,6.0,0,0.0000,merchant_adj
0.6,5,7,6.0,0,0.0000,merchant_adj
0.6,5,8,6.0,0,0.0000,merchant_adj
0.6,5,9,6.0,0,0.0000,merchant_adj
0.6,6,7,1.0,0,0.0000,other
0.6,6,8,1.0,0,0.0000,other
0.6,6,9,1.0,0,0.0000,other
0.6,7,8,1.0,0,0.0000,other
0.6,7,9,1.0,0,0.0000,other
0.6,8,9,1.0,0,0.0000,other
