param_name,param_value,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs
alpha,0.0,13548.96,7397.70,1817.00,52879.00,12264.50,13090.45,14007.48,1000
alpha,0.05,7252.43,2851.09,859.00,21415.00,7110.00,7075.72,7429.14,1000
alpha,0.1,4369.22,1345.47,860.00,9314.00,4371.50,4285.82,4452.61,1000
alpha,0.15,3110.70,833.66,1001.00,6212.00,3096.50,3059.03,3162.37,1000
alpha,0.2,2413.35,571.13,978.00,4526.00,2417.50,2377.95,2448.75,1000
alpha,0.25,1988.65,433.44,844.00,3359.00,2003.00,1961.78,2015.51,1000
alpha,0.3,1683.27,337.84,782.00,2682.00,1686.50,1662.33,1704.21,1000
alpha,0.35,1467.85,279.91,617.00,2304.00,1466.00,1450.50,1485.20,1000
alpha,0.4,1291.67,232.63,608.00,1958.00,1298.00,1277.25,1306.09,1000
alpha,0.45,1155.41,198.01,493.00,1853.00,1158.00,1143.13,1167.68,1000
alpha,0.5,1048.52,172.52,464.00,1653.00,1056.50,1037.82,1059.21,1000
alpha,0.6,880.38,133.54,434.00,1282.00,883.50,872.10,888.65,1000
alpha,0.7,763.06,108.22,420.00,1097.00,767.00,756.35,769.77,1000
alpha,0.8,671.98,89.95,398.00,942.00,673.50,666.40,677.55,1000
alpha,0.9,598.62,76.58,340.00,842.00,601.00,593.87,603.36,1000
alpha,1.0,543.26,66.30,325.00,782.00,541.00,539.15,547.37,1000
