alpha,p_merchant,p_bridge,p_other,ci_low_merchant,ci_high_merchant
0.0,0.2700,0.6460,0.0840,0.2434,0.2984
0.05,0.5250,0.4500,0.0250,0.4940,0.5558
0.1,0.5500,0.4470,0.0030,0.5190,0.5806
0.15,0.5710,0.4290,0.0000,0.5401,0.6013
0.2,0.5750,0.4250,0.0000,0.5441,0.6053
0.25,0.5880,0.4120,0.0000,0.5572,0.6181
0.3,0.6260,0.3740,0.0000,0.5956,0.6555
0.35,0.6450,0.3550,0.0000,0.6148,0.6741
0.4,0.6330,0.3670,0.0000,0.6027,0.6623
0.45,0.6270,0.3730,0.0000,0.5966,0.6564
0.5,0.6230,0.3770,0.0000,0.5925,0.6525
0.6,0.6420,0.3580,0.0000,0.6118,0.6711
0.7,0.6490,0.3510,0.0000,0.6189,0.6780
0.8,0.6590,0.3410,0.0000,0.6291,0.6877
0.9,0.6710,0.3290,0.0000,0.6413,0.6994
1.0,0.6730,0.3270,0.0000,0.6433,0.7014
