param_name,param_value,n_nodes,n_edges,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,alpha
k,10,500,12351,9412.25,3818.78,2857.00,14959.00,9657.50,7251.57,11572.93,12,0.0
k,20,500,12351,36196.17,16618.77,18388.00,75661.00,31411.00,26793.21,45599.12,12,0.0
k,50,500,12351,233304.58,86586.20,115246.00,362060.00,203010.00,184313.83,282295.34,12,0.0
k,100,500,12351,974258.42,290802.32,479744.00,1399408.00,1014913.00,809721.52,1138795.32,12,0.0
k,200,500,12351,3786358.75,708709.60,2170995.00,4737813.00,3881017.00,3385368.54,4187348.96,12,0.0
k,10,500,12351,2992.33,679.28,2215.00,4237.00,2820.50,2607.99,3376.67,12,0.25
k,20,500,12351,7074.58,1673.04,4019.00,10332.00,7134.00,6127.97,8021.20,12,0.25
k,50,500,12351,18256.00,2894.08,12463.00,22982.00,18310.00,16618.52,19893.48,12,0.25
k,100,500,12351,36419.08,3653.99,29367.00,42673.00,36189.00,34351.65,38486.52,12,0.25
k,200,500,12351,74843.42,5920.68,66460.00,85218.00,74565.00,71493.48,78193.36,12,0.25
k,10,500,12351,1387.00,429.67,731.00,1835.00,1598.00,1143.89,1630.11,12,0.5
k,20,500,12351,3338.92,848.60,1910.00,4657.00,3373.00,2858.78,3819.06,12,0.5
k,50,500,12351,9271.25,827.44,7430.00,10553.00,9247.50,8803.08,9739.42,12,0.5
k,100,500,12351,18498.25,1614.27,15479.00,21266.00,18281.00,17584.89,19411.61,12,0.5
k,200,500,12351,37045.83,2035.61,34291.00,39654.00,37233.50,35894.08,38197.59,12,0.5
