topology,n_nodes,run_id,tau
barabasi_albert,50,0,3242
barabasi_albert,50,1,2783
barabasi_albert,50,2,3888
barabasi_albert,50,3,3311
barabasi_albert,50,4,3274
barabasi_albert,50,5,3094
barabasi_albert,50,6,3404
barabasi_albert,50,7,3792
barabasi_albert,50,8,3569
barabasi_albert,50,9,2958
erdos_renyi,50,0,6955
erdos_renyi,50,1,6484
erdos_renyi,50,2,7823
erdos_renyi,50,3,6076
erdos_renyi,50,4,7284
erdos_renyi,50,5,6748
erdos_renyi,50,6,7459
erdos_renyi,50,7,6828
erdos_renyi,50,8,7796
erdos_renyi,50,9,7954
random_regular,50,0,8777
random_regular,50,1,8237
random_regular,50,2,8183
random_regular,50,3,9027
random_regular,50,4,8235
random_regular,50,5,8994
random_regular,50,6,8701
random_regular,50,7,8809
random_regular,50,8,9004
random_regular,50,9,7985
barabasi_albert,100,0,8440
barabasi_albert,100,1,7000
barabasi_albert,100,2,7565
barabasi_albert,100,3,6037
barabasi_albert,100,4,7169
barabasi_albert,100,5,7583
barabasi_albert,100,6,7430
barabasi_albert,100,7,6386
barabasi_albert,100,8,7968
barabasi_albert,100,9,8196
erdos_renyi,100,0,11597
erdos_renyi,100,1,11015
erdos_renyi,100,2,12552
erdos_renyi,100,3,11334
erdos_renyi,100,4,11411
erdos_renyi,100,5,11962
erdos_renyi,100,6,12243
erdos_renyi,100,7,13071
erdos_renyi,100,8,11570
erdos_renyi,100,9,11080
random_regular,100,0,12601
random_regular,100,1,12169
random_regular,100,2,12293
random_regular,100,3,13489
random_regular,100,4,11883
random_regular,100,5,12084
random_regular,100,6,11828
random_regular,100,7,11227
random_regular,100,8,12818
random_regular,100,9,12841
barabasi_albert,150,0,4736
barabasi_albert,150,1,7127
barabasi_albert,150,2,7351
barabasi_albert,150,3,6559
barabasi_albert,150,4,6512
barabasi_albert,150,5,8404
barabasi_albert,150,6,6653
barabasi_albert,150,7,6232
barabasi_albert,150,8,8437
barabasi_albert,150,9,6187
erdos_renyi,150,0,7870
erdos_renyi,150,1,6847
erdos_renyi,150,2,8147
erdos_renyi,150,3,6395
erdos_renyi,150,4,6755
erdos_renyi,150,5,7462
erdos_renyi,150,6,8817
erdos_renyi,150,7,7628
erdos_renyi,150,8,6819
erdos_renyi,150,9,6489
random_regular,150,0,14806
random_regular,150,1,13662
random_regular,150,2,12871
random_regular,150,3,16997
random_regular,150,4,15499
random_regular,150,5,15717
random_regular,150,6,15006
random_regular,150,7,16106
random_regular,150,8,15839
random_regular,150,9,14350
barabasi_albert,200,0,3784
barabasi_albert,200,1,3315
barabasi_albert,200,2,3921
barabasi_albert,200,3,3202
barabasi_albert,200,4,3596
barabasi_albert,200,5,4100
barabasi_albert,200,6,3729
barabasi_albert,200,7,3278
barabasi_albert,200,8,4610
barabasi_albert,200,9,3503
erdos_renyi,200,0,7296
erdos_renyi,200,1,8691
erdos_renyi,200,2,8632
erdos_renyi,200,3,7499
erdos_renyi,200,4,8009
erdos_renyi,200,5,7964
erdos_renyi,200,6,9517
erdos_renyi,200,7,8346
erdos_renyi,200,8,8426
erdos_renyi,200,9,8558
random_regular,200,0,16321
random_regular,200,1,17911
random_regular,200,2,18465
random_regular,200,3,15463
random_regular,200,4,16318
random_regular,200,5,16176
random_regular,200,6,18487
random_regular,200,7,17677
random_regular,200,8,16250
random_regular,200,9,15749
barabasi_albert,300,0,9811
barabasi_albert,300,1,12625
barabasi_albert,300,2,13238
barabasi_albert,300,3,10600
barabasi_albert,300,4,12506
barabasi_albert,300,5,12590
barabasi_albert,300,6,12150
barabasi_albert,300,7,11460
barabasi_albert,300,8,11575
barabasi_albert,300,9,11930
erdos_renyi,300,0,12523
erdos_renyi,300,1,14476
erdos_renyi,300,2,12037
erdos_renyi,300,3,11805
erdos_renyi,300,4,12431
erdos_renyi,300,5,12640
erdos_renyi,300,6,12905
erdos_renyi,300,7,12839
erdos_renyi,300,8,11683
erdos_renyi,300,9,10268
random_regular,300,0,21789
random_regular,300,1,20505
random_regular,300,2,21547
random_regular,300,3,21588
random_regular,300,4,19953
random_regular,300,5,23158
random_regular,300,6,22785
random_regular,300,7,22431
random_regular,300,8,21306
random_regular,300,9,23498
barabasi_albert,400,0,13650
barabasi_albert,400,1,17255
barabasi_albert,400,2,13321
barabasi_albert,400,3,14895
barabasi_albert,400,4,16092
barabasi_albert,400,5,18478
barabasi_albert,400,6,12098
barabasi_albert,400,7,14699
barabasi_albert,400,8,16489
barabasi_albert,400,9,12622
