topology,n_nodes,n_edges,n_merchants,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,time_sec
barabasi_albert,50,225,7,3331.50,348.32,2783.00,3888.00,3292.50,3115.61,3547.39,10,0.4
erdos_renyi,50,245,7,7140.70,626.24,6076.00,7954.00,7119.50,6752.55,7528.85,10,0.4
random_regular,50,250,7,8595.20,394.81,7985.00,9027.00,8739.00,8350.49,8839.91,10,0.4
barabasi_albert,100,475,10,7377.40,759.65,6037.00,8440.00,7497.50,6906.56,7848.24,10,1.6
erdos_renyi,100,557,10,11783.50,666.49,11015.00,13071.00,11583.50,11370.40,12196.60,10,1.6
random_regular,100,500,10,12323.30,638.73,11227.00,13489.00,12231.00,11927.41,12719.19,10,1.6
barabasi_albert,150,725,12,6819.80,1094.45,4736.00,8437.00,6606.00,6141.46,7498.14,10,2.8
erdos_renyi,150,754,12,7322.90,794.60,6395.00,8817.00,7154.50,6830.40,7815.40,10,2.8
random_regular,150,750,12,15085.30,1219.68,12871.00,16997.00,15252.50,14329.34,15841.26,10,2.9
barabasi_albert,200,975,14,3703.80,430.59,3202.00,4610.00,3662.50,3436.92,3970.68,10,5.1
erdos_renyi,200,985,14,8293.80,639.06,7296.00,9517.00,8386.00,7897.71,8689.89,10,5.2
random_regular,200,1000,14,16881.70,1135.33,15463.00,18487.00,16319.50,16178.02,17585.38,10,5.3
barabasi_albert,300,1475,17,11848.50,1030.06,9811.00,13238.00,12040.00,11210.06,12486.94,10,14.8
erdos_renyi,300,1538,17,12360.70,1072.95,10268.00,14476.00,12477.00,11695.68,13025.72,10,15.1
random_regular,300,1500,17,21856.00,1130.68,19953.00,23498.00,21688.50,21155.20,22556.80,10,15.0
barabasi_albert,400,1975,20,14959.90,2092.17,12098.00,18478.00,14797.00,13663.16,16256.64,10,33.8
