param_name,param_value,n_nodes,n_edges,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs
alpha,0.0,500,12351,269705.33,66852.85,136122.00,362209.00,288203.50,231879.78,307530.89,12
alpha,0.05,500,12351,85459.92,16575.51,63010.00,112351.00,80492.50,76081.44,94838.40,12
alpha,0.1,500,12351,44998.08,6498.72,37449.00,58788.00,43782.00,41321.09,48675.08,12
alpha,0.15,500,12351,30494.58,3849.80,22112.00,36999.00,30543.00,28316.36,32672.81,12
alpha,0.2,500,12351,22390.75,1928.95,19889.00,25396.00,22529.00,21299.34,23482.16,12
alpha,0.25,500,12351,18038.50,2511.94,13618.00,22158.00,18188.00,16617.24,19459.76,12
alpha,0.3,500,12351,15496.00,1507.63,14093.00,18506.00,14686.00,14642.98,16349.02,12
alpha,0.35,500,12351,12340.25,1423.98,10655.00,16147.00,12022.50,11534.56,13145.94,12
alpha,0.4,500,12351,10934.17,1135.80,9116.00,12796.00,10791.00,10291.53,11576.80,12
alpha,0.45,500,12351,10291.08,1342.39,8812.00,13021.00,9955.50,9531.55,11050.61,12
alpha,0.5,500,12351,9242.75,1606.73,6759.00,12746.00,9091.50,8333.66,10151.84,12
alpha,0.55,500,12351,8296.58,1134.81,6430.00,10933.00,8466.50,7654.50,8938.67,12
alpha,0.6,500,12351,7701.83,792.88,6469.00,9453.00,7658.50,7253.22,8150.45,12
